signal_id,campaign_id,app_context,device_tier,supply_path,bid_density,contextual_fit,supply_quality,win_rate_gap,predicted_ltv,predicted_value_index,recommended_bid_change,estimated_opportunity
CMP013-SIG05,CMP013,food utility,new iOS,direct SDK,92000,0.86,0.707,0.255,9.4,88.9,0.32,3964
CMP013-SIG06,CMP013,shopping apps,new iOS,exchange curated,133000,0.756,0.841,0.13,8.43,82.8,0.23,2630
CMP014-SIG01,CMP014,puzzle games,high memory Android,direct SDK,43000,0.878,0.964,0.01,10.78,83.9,0.182,83
CMP014-SIG02,CMP014,finance content,older iOS,direct SDK,331000,0.734,0.64,0.112,9.95,77.7,0.164,6623
CMP014-SIG03,CMP014,fitness apps,high memory Android,retargeting pool,249000,0.554,0.909,0.199,8.98,80.4,0.237,7989
CMP014-SIG04,CMP014,travel planning,new iOS,open auction,87000,0.788,0.857,0.335,9.61,92.7,0.32,5038
CMP014-SIG05,CMP014,food utility,high memory Android,direct SDK,80000,0.603,0.882,0.342,8.24,87.5,0.32,4057
CMP014-SIG06,CMP014,shopping apps,older iOS,direct SDK,216000,0.597,0.537,0.203,7.25,75.3,0.183,5718
CMP015-SIG01,CMP015,puzzle games,high memory Android,retargeting pool,250000,0.581,0.879,0.103,7.5,76.7,0.148,3464
CMP015-SIG02,CMP015,finance content,older iOS,retargeting pool,324000,0.769,0.588,0.077,7.48,76.4,0.132,3355
CMP015-SIG03,CMP015,fitness apps,mid-tier Android,direct SDK,104000,0.854,0.808,0.081,9.38,83.3,0.211,1424
CMP015-SIG04,CMP015,travel planning,new iOS,direct SDK,348000,0.711,0.71,0.3,9.68,86.1,0.32,18216
CMP015-SIG05,CMP015,food utility,new iOS,retargeting pool,318000,0.836,0.766,0.148,8.6,84.8,0.261,7296
CMP015-SIG06,CMP015,shopping apps,new iOS,retargeting pool,302000,0.84,0.892,0.305,9.67,93.8,0.32,16053
CMP016-SIG01,CMP016,puzzle games,new iOS,exchange curated,331000,0.647,0.695,0.144,7.89,77.2,0.174,6757
CMP016-SIG02,CMP016,finance content,new iOS,open auction,367000,0.792,0.868,0.261,9.41,89.9,0.32,16209
CMP016-SIG03,CMP016,fitness apps,high memory Android,retargeting pool,235000,0.98,0.819,0.376,10.89,99,0.32,17335
CMP016-SIG04,CMP016,travel planning,mid-tier Android,direct SDK,133000,0.886,0.747,0.116,9.72,84.7,0.243,2691
CMP016-SIG05,CMP016,food utility,mid-tier Android,direct SDK,80000,0.724,0.774,0.14,7.43,81.0,0.214,1498
CMP016-SIG06,CMP016,shopping apps,new iOS,open auction,245000,0.955,0.898,0.074,8.12,87.8,0.257,2641
CMP017-SIG01,CMP017,puzzle games,older iOS,exchange curated,315000,0.623,0.888,0.281,8.15,85.7,0.32,12975
CMP017-SIG02,CMP017,finance content,older iOS,open auction,266000,0.592,0.915,0.16,7.4,80.2,0.216,5669
CMP017-SIG03,CMP017,fitness apps,mid-tier Android,direct SDK,89000,0.527,0.99,0.242,9.21,82.9,0.286,3568
CMP017-SIG04,CMP017,travel planning,new iOS,retargeting pool,92000,0.679,0.851,0.17,8.44,82.2,0.243,2374
CMP017-SIG05,CMP017,food utility,mid-tier Android,exchange curated,283000,0.653,0.755,0.072,7.74,75.5,0.119,2822
CMP017-SIG06,CMP017,shopping apps,older iOS,retargeting pool,342000,0.604,0.831,0.251,8.35,82.8,0.29,12915
CMP018-SIG01,CMP018,puzzle games,high memory Android,exchange curated,185000,0.631,0.88,0.168,9.41,81.1,0.23,5261
CMP018-SIG02,CMP018,finance content,older iOS,direct SDK,62000,0.593,0.647,0.144,7.7,74.7,0.147,1239
CMP018-SIG03,CMP018,fitness apps,new iOS,retargeting pool,112000,0.688,0.597,0.267,8.21,82.0,0.289,4425
CMP018-SIG04,CMP018,travel planning,new iOS,direct SDK,167000,0.541,0.86,0.117,9.08,75.7,0.144,3196
CMP018-SIG05,CMP018,food utility,older iOS,retargeting pool,275000,0.756,0.882,0.133,7.75,83.6,0.24,5102
CMP018-SIG06,CMP018,shopping apps,mid-tier Android,exchange curated,255000,0.522,0.707,0.089,7.21,71.2,0.08,2934
