date,campaign_id,spend,impressions,bid_requests,win_rate,installs,retained_users,attributed_revenue,cpi,roas,d7_retention,pacing_index,contextual_fit,signal_coverage,creative_fatigue,measurement_reliability,predicted_value_index
2026-03-01,CMP001,8508,3712882,16744853,0.222,1852,420,14280.94,4.59,1.68,0.227,1.215,0.524,0.774,0.434,0.847,82.0
2026-03-02,CMP001,6964,2730488,14377471,0.19,919,210,8451.21,7.58,1.21,0.229,0.995,0.395,0.743,0.492,0.99,67.3
2026-03-03,CMP001,5165,2922229,9745077,0.3,981,243,9667.62,5.27,1.87,0.248,0.738,0.521,0.81,0.389,0.863,83.7
2026-03-04,CMP001,5793,3615519,11442147,0.316,970,265,9041.93,5.97,1.56,0.273,0.828,0.628,0.703,0.381,0.75,83.0
2026-03-05,CMP001,6244,3806487,12966772,0.294,1382,314,8977.81,4.52,1.44,0.227,0.892,0.538,0.909,0.403,0.774,85.5
2026-03-06,CMP001,8721,4353200,13409840,0.325,1195,251,13047.28,7.3,1.5,0.21,1.246,0.419,0.556,0.523,0.832,65.2
2026-03-07,CMP001,6900,2488766,11170947,0.223,1078,261,9165.59,6.4,1.33,0.242,0.986,0.615,0.459,0.39,0.708,77.8
2026-03-08,CMP001,5560,2397028,8037027,0.298,1002,271,10170.9,5.55,1.83,0.27,0.794,0.572,0.649,0.38,0.964,79.4
2026-03-09,CMP001,5350,2196333,11056793,0.199,1109,259,7428.62,4.82,1.39,0.234,0.764,0.492,0.555,0.521,0.83,76.0
2026-03-10,CMP001,6343,3258598,16460902,0.198,1003,238,10778.03,6.32,1.7,0.237,0.906,0.459,0.796,0.596,0.823,66.9
2026-03-11,CMP001,4924,1891623,5692443,0.332,742,182,6054.41,6.64,1.23,0.245,0.703,0.518,0.852,0.546,0.863,71.8
2026-03-12,CMP001,5480,1682017,8071643,0.208,1134,271,9416.73,4.83,1.72,0.239,0.783,0.497,0.808,0.476,0.881,73.5
2026-03-13,CMP001,4693,1964869,5885464,0.334,969,240,10202.85,4.84,2.17,0.248,0.67,0.535,0.967,0.465,0.892,86.3
2026-03-14,CMP001,5243,3589134,14838408,0.242,890,205,8318.42,5.89,1.59,0.23,0.749,0.48,0.661,0.613,0.99,64.2
2026-03-15,CMP001,6910,4723109,15103181,0.313,1408,297,10372.32,4.91,1.5,0.211,0.987,0.534,0.747,0.399,0.883,76.7
2026-03-16,CMP001,5274,2261698,10712329,0.211,937,192,9437.55,5.63,1.79,0.205,0.754,0.547,0.99,0.566,0.752,77.6
2026-03-17,CMP001,6406,4167438,12825566,0.325,1155,220,9974.05,5.55,1.56,0.19,0.915,0.527,0.797,0.525,0.783,72.7
2026-03-18,CMP001,5426,3943769,12777603,0.309,1055,254,9677.28,5.14,1.78,0.241,0.775,0.397,0.99,0.505,0.831,72.9
2026-03-19,CMP001,5863,2281438,7497310,0.304,1166,241,11093.86,5.03,1.89,0.207,0.838,0.477,0.666,0.577,0.97,76.5
2026-03-20,CMP001,6429,3244248,15655939,0.207,1243,320,8606.42,5.17,1.34,0.257,0.919,0.534,0.628,0.487,0.943,72.4
2026-03-21,CMP001,7868,5619054,16760854,0.335,1467,302,12457.37,5.36,1.58,0.206,1.124,0.423,0.99,0.637,0.817,73.1
2026-03-22,CMP001,5908,3295699,10532313,0.313,977,199,9492.46,6.05,1.61,0.204,0.844,0.487,0.667,0.512,0.696,75.5
2026-03-23,CMP001,6075,4110970,13272650,0.31,1165,298,10966.08,5.21,1.81,0.256,0.868,0.572,0.747,0.501,0.777,72.7
2026-03-24,CMP001,6839,4659915,17199105,0.271,996,241,8116.75,6.87,1.19,0.242,0.977,0.408,0.99,0.666,0.809,70.2
2026-03-25,CMP001,5539,3902986,15594294,0.25,918,233,9030.61,6.03,1.63,0.254,0.791,0.606,0.75,0.662,0.72,68.2
2026-03-26,CMP001,5478,2532208,9783241,0.259,772,167,6770.49,7.1,1.24,0.216,0.783,0.478,0.988,0.645,0.592,69.2
2026-03-27,CMP001,5491,1636577,7474539,0.219,1078,279,8530.68,5.09,1.55,0.259,0.785,0.553,0.701,0.584,0.813,76.7
2026-03-28,CMP001,7414,2390839,11256170,0.212,1492,341,14368.47,4.97,1.94,0.229,1.059,0.6,0.767,0.641,0.729,82.3
2026-03-29,CMP001,6736,3901132,19881826,0.196,1123,268,11440.85,6.0,1.7,0.239,0.962,0.515,0.75,0.724,0.797,68.0
2026-03-30,CMP001,5719,3587650,11901856,0.301,1049,270,9314.29,5.45,1.63,0.257,0.817,0.498,0.81,0.594,0.806,80.8
2026-03-31,CMP001,6038,4114653,14129271,0.291,1296,338,7963.03,4.66,1.32,0.261,0.863,0.46,0.81,0.728,0.875,76.9
2026-04-01,CMP001,8960,4029873,18226545,0.221,1535,285,11317.83,5.84,1.26,0.186,1.28,0.468,0.825,0.763,0.669,75.5
2026-04-02,CMP001,6144,1971978,6328624,0.312,1083,287,11726.87,5.67,1.91,0.265,0.878,0.618,0.984,0.76,0.934,79.5
2026-04-03,CMP001,8346,3983208,12888664,0.309,1371,295,14942.16,6.09,1.79,0.215,1.192,0.446,0.759,0.6,0.893,77.6
2026-04-04,CMP001,7543,4092866,18844508,0.217,1174,288,13727.13,6.43,1.82,0.245,1.078,0.602,0.825,0.607,0.824,73.3
2026-04-05,CMP001,8501,3763302,14247664,0.264,1463,367,12491.5,5.81,1.47,0.251,1.214,0.584,0.83,0.797,0.911,68.6
2026-04-06,CMP001,6846,2995961,15005208,0.2,1342,296,12072.02,5.1,1.76,0.221,0.978,0.565,0.99,0.83,0.99,75.9
2026-04-07,CMP001,6852,2183332,7595428,0.287,1460,268,11573.54,4.69,1.69,0.184,0.979,0.437,0.884,0.765,0.787,75.7
2026-04-08,CMP001,6895,4392033,15399820,0.285,1433,334,8673.83,4.81,1.26,0.233,0.985,0.586,0.624,0.645,0.946,74.3
2026-04-09,CMP001,5081,2359200,11514039,0.205,722,179,8558.42,7.04,1.68,0.248,0.726,0.463,0.676,0.84,0.648,67.8
2026-04-10,CMP001,5032,1867768,9740803,0.192,690,173,6546.39,7.29,1.3,0.251,0.719,0.421,0.968,0.885,0.896,69.4
2026-04-11,CMP001,7230,4665018,20658418,0.226,1023,219,10017.23,7.07,1.39,0.214,1.033,0.462,0.681,0.687,0.713,73.2
2026-04-12,CMP001,6374,4184483,16188087,0.258,1289,285,7914.23,4.94,1.24,0.221,0.911,0.589,0.788,0.728,0.861,72.5
2026-04-13,CMP001,7377,4219640,18834130,0.224,1034,191,10241.88,7.13,1.39,0.185,1.054,0.415,0.723,0.686,0.779,68.0
2026-04-14,CMP001,6390,4658532,17378121,0.268,989,257,11052.11,6.46,1.73,0.26,0.913,0.633,0.851,0.825,0.776,69.2
2026-04-15,CMP001,5658,3833107,16123954,0.238,974,210,8988.96,5.81,1.59,0.216,0.808,0.605,0.883,0.817,0.699,80.1
2026-04-16,CMP001,7299,4086764,13661837,0.299,1146,260,10165.41,6.37,1.39,0.227,1.043,0.518,0.61,0.93,0.848,71.7
2026-02-10,CMP002,3425,1807034,9540370,0.189,488,199,8040.65,7.02,2.35,0.408,1.042,0.787,0.902,0.059,0.788,92.8
2026-02-11,CMP002,3161,1685805,7650014,0.22,588,246,5886.87,5.38,1.86,0.418,0.962,0.666,0.768,0.17,0.789,83.0
2026-02-12,CMP002,3269,1722298,8746421,0.197,535,209,5812.1,6.11,1.78,0.391,0.995,0.702,0.881,0.177,0.955,87.4
2026-02-13,CMP002,2551,1480927,9199128,0.161,433,187,4984.11,5.89,1.95,0.432,0.776,0.712,0.869,0.146,0.945,98.9
2026-02-14,CMP002,3558,1593860,9633233,0.165,545,225,5947.88,6.53,1.67,0.413,1.083,0.669,0.904,0.168,0.911,93.1
2026-02-15,CMP002,2818,2021459,10757170,0.188,496,196,6696.45,5.68,2.38,0.395,0.858,0.803,0.823,0.271,0.874,94.9
2026-02-16,CMP002,2991,1506280,6416797,0.235,522,234,5337.22,5.73,1.78,0.448,0.91,0.756,0.78,0.148,0.913,94.9
2026-02-17,CMP002,3796,1542556,6919818,0.223,469,203,6955.97,8.09,1.83,0.433,1.155,0.682,0.697,0.285,0.795,80.4
2026-02-18,CMP002,4205,2436201,10673757,0.228,624,266,9727.04,6.74,2.31,0.426,1.28,0.771,0.662,0.147,0.672,89.9
2026-02-19,CMP002,3231,956970,6348296,0.151,535,204,4682.58,6.04,1.45,0.381,0.983,0.66,0.543,0.366,0.772,78.8
2026-02-20,CMP002,3187,1221461,4325502,0.282,472,192,5954.28,6.75,1.87,0.407,0.97,0.736,0.682,0.127,0.739,92.8
2026-02-21,CMP002,3509,1677348,5888003,0.285,621,275,6184.9,5.65,1.76,0.443,1.068,0.759,0.647,0.333,0.861,91.2
2026-02-22,CMP002,3007,2222807,10132791,0.219,581,262,6515.4,5.18,2.17,0.451,0.915,0.726,0.948,0.289,0.713,92.5
2026-02-23,CMP002,3891,2044589,7733283,0.264,733,313,7071.97,5.31,1.82,0.427,1.184,0.756,0.633,0.342,0.86,88.4
2026-02-24,CMP002,3723,2463433,8913821,0.276,585,243,6562.25,6.36,1.76,0.415,1.133,0.595,0.864,0.192,0.926,86.0
2026-02-25,CMP002,3752,1287600,5404052,0.238,648,262,6805.8,5.79,1.81,0.404,1.142,0.667,0.677,0.22,0.779,85.6
2026-02-26,CMP002,3606,2555225,9025275,0.283,541,231,8136.73,6.67,2.26,0.427,1.098,0.674,0.595,0.286,0.66,90.1
2026-02-27,CMP002,3591,1676176,9893846,0.169,752,331,6464.02,4.78,1.8,0.44,1.093,0.632,0.99,0.362,0.849,94.5
2026-02-28,CMP002,2917,1510259,8957612,0.169,560,255,5551.72,5.21,1.9,0.455,0.888,0.751,0.939,0.248,0.99,89.6
2026-03-01,CMP002,3159,1253999,5696059,0.22,595,257,5873.75,5.31,1.86,0.432,0.962,0.675,0.579,0.389,0.722,84.1
2026-03-02,CMP002,3399,1774147,6256592,0.284,648,282,7021.49,5.25,2.07,0.435,1.035,0.814,0.925,0.267,0.85,88.8
2026-03-03,CMP002,3333,1961811,11408525,0.172,505,199,7919.66,6.6,2.38,0.394,1.015,0.614,0.921,0.396,0.78,93.1
2026-03-04,CMP002,2323,1547213,10523967,0.147,365,140,4716.04,6.36,2.03,0.384,0.707,0.701,0.798,0.391,0.959,89.2
2026-03-05,CMP002,3591,1854718,12562552,0.148,607,259,6000.22,5.92,1.67,0.427,1.093,0.738,0.765,0.309,0.792,87.2
2026-03-06,CMP002,3358,2397196,15818384,0.152,574,248,5617.3,5.85,1.67,0.432,1.022,0.642,0.703,0.516,0.817,87.6
2026-03-07,CMP002,3729,1133942,7207871,0.157,704,310,8219.31,5.3,2.2,0.44,1.135,0.768,0.819,0.385,0.831,91.4
2026-03-08,CMP002,3596,1587252,6447319,0.246,625,276,6957.65,5.75,1.93,0.442,1.095,0.646,0.828,0.299,0.99,94.2
2026-03-09,CMP002,1957,645974,3160669,0.204,293,126,3944.31,6.68,2.02,0.43,0.596,0.573,0.83,0.496,0.767,86.4
2026-03-10,CMP002,2636,1243058,5517205,0.225,469,219,4430.26,5.62,1.68,0.467,0.802,0.782,0.759,0.446,0.787,84.2
2026-03-11,CMP002,1991,1092225,3943443,0.277,314,144,3519.18,6.34,1.77,0.459,0.606,0.68,0.747,0.4,0.809,82.8
2026-03-12,CMP002,2427,980762,5608409,0.175,446,201,5120.46,5.44,2.11,0.451,0.739,0.702,0.846,0.483,0.859,87.6
2026-03-13,CMP002,2433,880949,4759985,0.185,486,194,4455.77,5.01,1.83,0.399,0.741,0.683,0.794,0.423,0.98,93.1
2026-03-14,CMP002,1934,821778,3387250,0.243,258,101,3151.59,7.5,1.63,0.391,0.589,0.641,0.762,0.34,0.907,86.3
2026-03-15,CMP002,2091,641711,2343955,0.274,339,156,4605.91,6.17,2.2,0.46,0.636,0.804,0.99,0.374,0.792,95.4
2026-03-16,CMP002,1889,566198,3526492,0.161,247,112,2716.86,7.65,1.44,0.453,0.575,0.66,0.862,0.541,0.651,82.9
2026-03-17,CMP002,2105,669045,3490703,0.192,299,115,4783.2,7.04,2.27,0.385,0.641,0.625,0.794,0.488,0.836,88.3
2026-03-18,CMP002,3056,1309701,5044209,0.26,515,206,5009.01,5.93,1.64,0.4,0.93,0.801,0.948,0.441,0.95,90.2
2026-03-19,CMP002,3019,1482324,5192961,0.285,435,186,4641.38,6.94,1.54,0.428,0.919,0.762,0.918,0.548,0.894,85.8
2026-03-20,CMP002,2251,1526467,6373988,0.239,302,132,5102.85,7.45,2.27,0.437,0.685,0.58,0.781,0.444,0.616,87.6
2026-03-21,CMP002,2833,1780793,7880369,0.226,505,226,6460.52,5.61,2.28,0.448,0.862,0.659,0.942,0.663,0.835,88.5
2026-03-22,CMP002,3571,1237606,5276286,0.235,560,228,7443.52,6.38,2.08,0.407,1.087,0.815,0.942,0.68,0.828,88.3
2026-03-23,CMP002,1868,1365376,5298583,0.258,247,94,3044.96,7.56,1.63,0.381,0.569,0.652,0.856,0.449,0.846,83.0
2026-03-24,CMP002,3709,2282998,9052768,0.252,614,274,6519.46,6.04,1.76,0.446,1.129,0.743,0.844,0.699,0.528,81.7
2026-03-25,CMP002,2474,1140500,5981803,0.191,420,179,4678.34,5.89,1.89,0.426,0.753,0.792,0.897,0.682,0.924,82.8
2026-03-26,CMP002,1806,523399,3395486,0.154,347,152,3216.7,5.2,1.78,0.438,0.55,0.605,0.99,0.671,0.72,89.6
2026-03-27,CMP002,3098,2046600,10920648,0.187,576,254,4628.94,5.38,1.49,0.441,0.943,0.788,0.81,0.502,0.818,82.4
2026-03-28,CMP002,3268,1907428,9789343,0.195,425,180,5292.41,7.69,1.62,0.424,0.995,0.702,0.788,0.561,0.906,82.5
2026-03-29,CMP002,2629,1689025,6282281,0.269,458,192,3667.61,5.74,1.4,0.419,0.8,0.676,0.78,0.729,0.762,83.2
2026-03-30,CMP002,3433,2379679,10687781,0.223,435,190,6194.26,7.89,1.8,0.437,1.045,0.608,0.783,0.661,0.828,76.9
2026-03-31,CMP002,3881,2038837,11667465,0.175,690,275,6373.99,5.62,1.64,0.399,1.181,0.582,0.829,0.606,0.89,82.6
2026-04-01,CMP002,3796,2587166,18225410,0.142,665,292,6819.47,5.71,1.8,0.439,1.155,0.799,0.847,0.651,0.76,82.7
2026-04-02,CMP002,2865,992807,3511173,0.283,382,150,4048.96,7.5,1.41,0.393,0.872,0.817,0.787,0.73,0.746,82.1
2026-04-03,CMP002,3847,1433926,7279101,0.197,572,238,6171.82,6.73,1.6,0.416,1.171,0.695,0.695,0.718,0.859,75.7
2026-04-04,CMP002,3867,1445536,5926085,0.244,635,247,8583.02,6.09,2.22,0.389,1.177,0.801,0.684,0.677,0.719,87.3
2026-04-05,CMP002,3254,2381403,14073502,0.169,551,224,5734.65,5.91,1.76,0.407,0.99,0.621,0.788,0.626,0.809,83.4
2026-04-06,CMP002,2802,1347673,5671296,0.238,506,203,5125.15,5.54,1.83,0.401,0.853,0.644,0.88,0.656,0.638,83.9
2026-04-07,CMP002,4205,1444054,6361742,0.227,704,273,5726.53,5.97,1.36,0.388,1.28,0.734,0.776,0.716,0.79,79.9
2026-04-08,CMP002,3794,2532224,18605285,0.136,521,211,5645.39,7.28,1.49,0.405,1.155,0.787,0.719,0.69,0.695,79.1
2026-04-09,CMP002,3711,2561663,14509112,0.177,461,180,5007.97,8.05,1.35,0.39,1.13,0.777,0.735,0.74,0.896,80.3
2026-04-10,CMP002,2982,907934,5449791,0.167,483,196,4197.0,6.17,1.41,0.406,0.908,0.68,0.86,0.798,0.99,83.5
2026-04-11,CMP002,4092,1364946,7458112,0.183,762,349,7304.99,5.37,1.79,0.458,1.245,0.81,0.99,0.791,0.537,92.0
2026-04-12,CMP002,4205,2683936,13554486,0.198,709,277,8041.89,5.93,1.91,0.391,1.28,0.763,0.791,0.658,0.917,77.3
2026-04-13,CMP002,1981,1090304,7091618,0.154,275,123,3346.51,7.2,1.69,0.447,0.603,0.799,0.768,0.651,0.75,88.4
2026-04-14,CMP002,2988,2046073,7182698,0.285,406,187,4316.14,7.36,1.44,0.461,0.91,0.741,0.768,0.753,0.876,80.3
2026-04-15,CMP002,2771,1964224,7835559,0.251,444,194,4181.67,6.24,1.51,0.437,0.843,0.792,0.855,0.841,0.869,81.2
2026-04-16,CMP002,4205,2733519,12790984,0.214,502,192,7485.0,8.38,1.78,0.382,1.28,0.59,0.79,0.836,0.847,72.7
2026-04-17,CMP002,3237,1663860,10354351,0.161,513,218,6101.11,6.31,1.88,0.425,0.985,0.615,0.69,0.782,0.862,77.9
2026-04-18,CMP002,3510,2552548,11734285,0.218,494,201,4692.4,7.11,1.34,0.407,1.068,0.655,0.803,0.868,0.68,72.1
2026-04-19,CMP002,4087,2074790,11706770,0.177,648,278,5576.23,6.31,1.36,0.429,1.244,0.65,0.714,0.856,0.929,77.7
2026-04-20,CMP002,3176,2186385,11711946,0.187,470,196,6146.25,6.76,1.94,0.417,0.967,0.571,0.816,0.737,0.737,79.1
2026-02-18,CMP003,4167,1455912,9990482,0.146,824,361,9322.32,5.06,2.24,0.438,0.663,0.796,0.734,0.163,0.934,93.4
2026-02-19,CMP003,7606,4169482,16472587,0.253,1291,555,13471.92,5.89,1.77,0.43,1.21,0.828,0.726,0.262,0.842,91.0
2026-02-20,CMP003,5242,3182535,12930277,0.246,1118,455,10986.44,4.69,2.1,0.407,0.834,0.738,0.716,0.175,0.912,97.1
2026-02-21,CMP003,3812,2680390,11265203,0.238,751,371,7956.38,5.08,2.09,0.494,0.606,0.921,0.968,0.152,0.729,99
2026-02-22,CMP003,4712,1814617,8378599,0.217,836,403,9508.77,5.64,2.02,0.482,0.75,0.776,0.99,0.243,0.825,90.5
2026-02-23,CMP003,6478,3192415,19170374,0.167,1384,624,18127.89,4.68,2.8,0.451,1.031,0.832,0.849,0.143,0.815,98.3
2026-02-24,CMP003,7891,5544243,29330593,0.189,1291,624,17934.5,6.11,2.27,0.483,1.255,0.815,0.772,0.102,0.928,99
2026-02-25,CMP003,7114,4051707,18786664,0.216,1605,712,18446.79,4.43,2.59,0.444,1.132,0.96,0.99,0.23,0.717,99
2026-02-26,CMP003,4859,2895647,21143139,0.137,1028,488,13690.26,4.73,2.82,0.475,0.773,0.853,0.726,0.208,0.802,99
2026-02-27,CMP003,5683,1736496,10768611,0.161,1139,554,16471.62,4.99,2.9,0.486,0.904,0.951,0.787,0.289,0.843,99
2026-02-28,CMP003,6055,1834758,9726489,0.189,1157,513,12404.14,5.23,2.05,0.443,0.963,0.862,0.65,0.207,0.804,89.6
2026-03-01,CMP003,4069,1689862,12320061,0.137,692,318,9329.96,5.88,2.29,0.46,0.647,0.733,0.712,0.14,0.651,85.3
2026-03-02,CMP003,6327,2960610,11739315,0.252,1077,441,11945.45,5.87,1.89,0.409,1.007,0.768,0.773,0.155,0.99,93.3
2026-03-03,CMP003,5037,1670419,7682141,0.217,1001,438,13075.42,5.03,2.6,0.438,0.801,0.96,0.99,0.306,0.769,94.4
2026-03-04,CMP003,8045,5798871,28911835,0.201,1780,804,15947.11,4.52,1.98,0.452,1.28,0.846,0.632,0.307,0.871,96.5
2026-03-05,CMP003,7268,3801882,14325556,0.265,1132,522,16260.74,6.42,2.24,0.461,1.156,0.77,0.947,0.383,0.621,98.9
2026-03-06,CMP003,7593,4387641,15790266,0.278,1315,596,17473.89,5.77,2.3,0.453,1.208,0.775,0.738,0.303,0.986,84.2
2026-03-07,CMP003,5894,3122154,13245347,0.236,1107,505,16231.02,5.32,2.75,0.456,0.938,0.815,0.952,0.246,0.778,97.0
2026-03-08,CMP003,8012,2911038,10799962,0.27,1128,518,18930.8,7.1,2.36,0.459,1.275,0.812,0.773,0.409,0.805,85.3
2026-03-09,CMP003,7824,5105446,21624773,0.236,1220,588,18490.69,6.41,2.36,0.482,1.245,0.848,0.807,0.246,0.912,93.9
2026-03-10,CMP003,6041,3599422,24563075,0.147,1177,524,16046.73,5.13,2.66,0.445,0.961,0.878,0.807,0.394,0.729,98.5
2026-03-11,CMP003,6567,4750231,18166363,0.261,1438,713,17443.52,4.57,2.66,0.496,1.045,0.956,0.704,0.408,0.693,98.4
2026-03-12,CMP003,5961,3273107,15522498,0.211,1180,503,15164.18,5.05,2.54,0.426,0.948,0.86,0.752,0.383,0.901,86.5
2026-03-13,CMP003,5828,4026911,25216221,0.16,834,360,14982.95,6.99,2.57,0.432,0.927,0.886,0.99,0.407,0.874,90.5
2026-03-14,CMP003,6980,2358154,11021197,0.214,1119,523,12620.25,6.24,1.81,0.467,1.111,0.768,0.75,0.46,0.712,94.0
2026-03-15,CMP003,6188,4118589,18637081,0.221,1014,456,15910.63,6.1,2.57,0.45,0.985,0.96,0.813,0.509,0.899,97.1
2026-03-16,CMP003,5066,2468748,10663612,0.232,987,455,13563.56,5.13,2.68,0.461,0.806,0.941,0.948,0.415,0.869,99
2026-03-17,CMP003,4888,2155391,11517448,0.187,920,447,11295.05,5.31,2.31,0.486,0.778,0.831,0.99,0.456,0.971,87.5
2026-03-18,CMP003,5764,3765344,15974467,0.236,1189,529,10584.57,4.85,1.84,0.445,0.917,0.882,0.97,0.512,0.792,95.5
2026-03-19,CMP003,4567,2742975,10410470,0.263,825,348,7974.92,5.54,1.75,0.422,0.727,0.953,0.99,0.437,0.67,91.1
2026-03-20,CMP003,4354,2212769,8502696,0.26,826,359,9295.74,5.27,2.13,0.435,0.693,0.92,0.959,0.368,0.693,97.8
2026-03-21,CMP003,3343,1832111,7360160,0.249,692,297,7464.55,4.83,2.23,0.429,0.532,0.788,0.673,0.385,0.839,90.5
2026-03-22,CMP003,5719,3323562,12138569,0.274,896,445,13237.24,6.38,2.31,0.497,0.91,0.925,0.799,0.547,0.803,87.9
2026-03-23,CMP003,5463,1942920,8952335,0.217,887,419,11721.8,6.16,2.15,0.472,0.869,0.845,0.76,0.547,0.685,94.3
2026-03-24,CMP003,6446,3000004,14795913,0.203,1168,555,13316.35,5.52,2.07,0.475,1.026,0.902,0.668,0.6,0.675,88.0
2026-03-25,CMP003,5046,3253772,15495360,0.21,912,399,8931.58,5.53,1.77,0.438,0.803,0.96,0.904,0.499,0.891,88.8
2026-03-26,CMP003,5308,1516650,6396590,0.237,901,426,13506.63,5.89,2.54,0.473,0.845,0.927,0.829,0.456,0.738,90.0
2026-03-27,CMP003,4858,3521402,17155234,0.205,896,424,11655.94,5.42,2.4,0.473,0.773,0.881,0.721,0.476,0.509,84.2
2026-03-28,CMP003,4910,3571178,14597231,0.245,839,389,11820.95,5.85,2.41,0.464,0.781,0.929,0.754,0.631,0.702,89.0
2026-03-29,CMP003,4892,2920711,19912157,0.147,1053,505,9784.27,4.65,2.0,0.48,0.778,0.936,0.99,0.619,0.726,99
2026-03-30,CMP003,5845,4066225,14552017,0.279,970,467,10983.0,6.03,1.88,0.481,0.93,0.945,0.872,0.607,0.672,92.8
2026-03-31,CMP003,3957,1313122,8861153,0.148,766,357,7134.91,5.17,1.8,0.466,0.63,0.738,0.8,0.521,0.609,87.8
2026-04-01,CMP003,5830,2929821,18728419,0.156,743,340,12640.32,7.85,2.17,0.458,0.928,0.74,0.684,0.642,0.724,78.8
2026-04-02,CMP003,4646,2434898,15648035,0.156,725,315,12833.69,6.41,2.76,0.434,0.739,0.96,0.909,0.604,0.735,95.4
2026-04-03,CMP003,5309,3391207,12736554,0.266,1033,516,11871.32,5.14,2.24,0.5,0.845,0.951,0.764,0.665,0.71,94.6
2026-04-04,CMP003,4616,1893108,10729672,0.176,824,405,9485.52,5.6,2.05,0.492,0.734,0.952,0.666,0.511,0.596,90.9
2026-04-05,CMP003,5441,3949875,16044429,0.246,966,466,13381.09,5.63,2.46,0.482,0.866,0.925,0.98,0.64,0.934,87.7
2026-04-06,CMP003,6718,4465330,16501108,0.271,1030,454,12597.64,6.52,1.88,0.441,1.069,0.825,0.884,0.516,0.745,96.6
2026-04-07,CMP003,3598,2409775,9537932,0.253,535,241,8987.35,6.73,2.5,0.45,0.573,0.733,0.839,0.551,0.679,87.2
2026-04-08,CMP003,5040,2009324,10145303,0.198,976,399,11959.84,5.16,2.37,0.409,0.802,0.733,0.775,0.522,0.574,90.4
